iter	Logloss
0	0.5809939637
1	0.4954037179
2	0.4300961321
3	0.377799918
4	0.3402935153
5	0.3088914055
6	0.2861903944
7	0.2645848312
8	0.2476516562
9	0.233082352
10	0.2196563601
11	0.2093557319
12	0.2013877713
13	0.1944615521
14	0.1891889954
15	0.1852141252
16	0.181572153
17	0.1785936147
18	0.1762095389
19	0.1742774689
20	0.1718854957
21	0.1697124011
22	0.1683548627
23	0.1663141822
24	0.164742725
25	0.1635038295
26	0.1624403513
27	0.1615136939
28	0.1609625482
29	0.1601953602
30	0.1598158147
31	0.1593494586
32	0.1587652109
33	0.1582338388
34	0.1580094221
35	0.1576137986
36	0.1573465965
37	0.1569955143
38	0.1565347701
39	0.1561208465
40	0.155474227
41	0.1549263147
42	0.1545369718
43	0.1541353717
44	0.1535801727
45	0.1532251464
46	0.1529229454
47	0.1526550941
48	0.1523001523
49	0.1521569035
50	0.1518829224
51	0.1516361211
52	0.1516002049
53	0.1513598756
54	0.1511511312
55	0.150971218
56	0.1506864735
57	0.1506081592
58	0.1505290723
59	0.1503743777
60	0.1502907878
61	0.1501926356
62	0.1500460313
63	0.1498280317
64	0.1497204452
65	0.1496097949
66	0.1494357456
67	0.1492461063
68	0.1491369559
69	0.1490178525
70	0.1489399833
71	0.1488740776
72	0.1487784384
73	0.1485580353
74	0.1483914693
75	0.1482944077
76	0.1481928484
77	0.1480510528
78	0.1479673975
79	0.1478712571
80	0.1477656536
81	0.14772526
82	0.1476528804
83	0.1475709901
84	0.1473982037
85	0.1472441029
86	0.1471113192
87	0.1469842894
88	0.1468993321
89	0.1468569613
90	0.1467707609
91	0.1467521456
92	0.1466546812
93	0.1465042133
94	0.1465010656
95	0.1463851675
96	0.1462481217
97	0.1461017487
98	0.1460624223
99	0.1460425262
100	0.1459983904
101	0.1459197915
102	0.1458469537
103	0.1457916309
104	0.1457281029
105	0.1456572778
106	0.1455347262
107	0.1454832784
108	0.1453844381
109	0.1452403295
110	0.1451353299
111	0.1450359704
112	0.1449118812
113	0.1448830175
114	0.1447600817
115	0.1446830507
116	0.1445703338
117	0.1445389971
118	0.1445078901
119	0.1444663131
120	0.1443753409
121	0.1443164456
122	0.1441784573
123	0.1440702877
124	0.1440550964
125	0.1439465481
126	0.1438227986
127	0.1437586035
128	0.1437084829
129	0.1436450252
130	0.1435470043
131	0.1434625043
132	0.143408922
133	0.1433466513
134	0.1432533989
135	0.1431405604
136	0.1429537408
137	0.1428319376
138	0.1427372056
139	0.1426609054
140	0.1425953005
141	0.1425359207
142	0.1424829024
143	0.142422112
144	0.1422672979
145	0.1422262927
146	0.1421804785
147	0.1420856273
148	0.1420437768
149	0.1419749058
150	0.1419129296
151	0.1418780287
152	0.1417227927
153	0.1415893691
154	0.1415151941
155	0.1413671172
156	0.1413054518
157	0.1411995516
158	0.1411659287
159	0.1411012677
160	0.1410673131
161	0.1410271469
162	0.1409550706
163	0.14092026
164	0.1408852014
165	0.1408071424
166	0.1407211058
167	0.1407015433
168	0.1406084746
169	0.1404958753
170	0.1404288409
171	0.1404067751
172	0.1403487219
173	0.1402233415
174	0.1401720327
175	0.1401411166
176	0.1400481461
177	0.1399822403
178	0.1399261847
179	0.139839026
180	0.1398224305
181	0.1397427318
182	0.139711792
183	0.1395488506
184	0.1394918333
185	0.1394351853
186	0.1393776637
187	0.1392592006
188	0.1392356122
189	0.1391650077
190	0.1391366954
191	0.1390942066
192	0.1390542367
193	0.1389836459
194	0.1389478489
195	0.1388828385
196	0.1388574896
197	0.1388235031
198	0.1387289694
199	0.1386006344
200	0.1384989569
201	0.1384689094
202	0.1384533439
203	0.1383604178
204	0.138278718
205	0.13818822
206	0.1381481767
207	0.1380986736
208	0.1380712094
209	0.1379630312
210	0.137884685
211	0.1378524007
212	0.1378153857
213	0.1377190669
214	0.1376495566
215	0.1376059742
216	0.1375102944
217	0.1374605619
218	0.1372592327
219	0.1371540133
220	0.1371153664
221	0.1370907032
222	0.1369497059
223	0.1368959758
224	0.1367521437
225	0.1366872036
226	0.1366183427
227	0.1365596665
228	0.1364347322
229	0.1363892505
230	0.1363379333
231	0.1363264804
232	0.136302222
233	0.136229896
234	0.1361251111
235	0.136063563
236	0.135950384
237	0.135876881
238	0.1358589926
239	0.1358039582
240	0.1357306948
241	0.1355912003
242	0.1355187952
243	0.1353944504
244	0.1353210751
245	0.1352089076
246	0.1351843547
247	0.1351187621
248	0.1350159007
249	0.1349883747
250	0.1349279979
251	0.1348445404
252	0.1348011128
253	0.1347458014
254	0.1346964596
255	0.1345914625
256	0.1345782093
257	0.1345252762
258	0.1344357789
259	0.1343933318
260	0.1342798536
261	0.1342560567
262	0.1341249847
263	0.1340400721
264	0.1339539098
265	0.1338945721
266	0.1338102172
267	0.1337312889
268	0.1337151774
269	0.1336820616
270	0.133627821
271	0.1335387238
272	0.133375379
273	0.133348395
274	0.1333334076
275	0.1332480241
276	0.1331701015
277	0.1331583841
278	0.1330546236
279	0.13297658
280	0.1329148485
281	0.1329027826
282	0.1328584181
283	0.1327208744
284	0.1326839823
285	0.1325702235
286	0.1324980239
287	0.1324328242
288	0.1323491721
289	0.1323041165
290	0.1322127483
291	0.1321982323
292	0.1321207936
293	0.1320756471
294	0.1320604073
295	0.1320223317
296	0.131944179
297	0.1318687933
298	0.1317256763
299	0.1317127906
